alert,destination-ip,destination-port,full_log,hostname,platform,priority,source-ip,source-port,time
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:03"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:03"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:04"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:04"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:05"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:05"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:06"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:06"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:07"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:07"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:08"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:08"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:09"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:09"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:10"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:10"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:11"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:11"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:12"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:12"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:13"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:13"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:14"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:14"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:15"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:15"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:16"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:16"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:17"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:17"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:18"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:18"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:19"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:19"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:20"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:20"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:21"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:21"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:22"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:22"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:23"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:23"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:24"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:24"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:17:25"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:17:25"
10000003,34.122.121.32,,,,snort,0,10.0.2.6,,"11/05/2021, 11:20:31"
527,255.255.255.255,,,,snort,2,0.0.0.0,,"11/05/2021, 11:21:05"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:05"
10000001,10.0.2.6,,,,snort,0,10.0.2.15,,"11/05/2021, 11:21:05"
10000001,10.0.2.15,,,,snort,0,10.0.2.6,,"11/05/2021, 11:21:06"
